Sequence,  Marketplace,  Reseller Name,  Reseller Contact Name,  Reseller Email Address,  Reseller Phone Number,  Order Id,  Subscription Id,  Activity Type,  Service Type,  Order Creation Date,  Purchase Date,  Activation Date, Subscription Type, Term Start Date, Term End Date, Term Duration, Next Renewal Date,  Service Cancellation Date,  Bill From,  Bill To,  Company Name,  Customer Acronym,  Account Creation Date,  First Name,  Last Name,  Customer Email Address,  Customer Phone Number, Billing Street, Billing Number, Billing Complement, Billing Neighbourhood, Billing City, Billing  State/Province, Billing  ZIP code, Billing Country, Billing  Country Code, Billing Phone Number, Mailing Street, Mailing Number, Mailing Complement, Mailing Neighbourhood, Mailing City, Mailing  State/Province, Mailing  ZIP code, Mailing Country, Mailing  Country Code, Mailing Phone Number, Service Name, Offer Name,  Offer Code,  Sales Reference Code,  Unit Of Measure,  Qty,  Pro-rate Scale,  Retail Unit Price,  Pro-rated Retail Price Unit Price,  Gross Retail Price,  Retail Price Discount (%),  Pro-Rated Retail Unit Discounted Price (Amount),  Total Retail Price Discount (Amount),  Total Retail Price,  Tax on Total Retail Price,  Grand Total: Retail Price,  Promotion Code,  Promotion duration,  Wholesale Unit Price,  Pro-rated Wholesale Unit Price,  Customer Transaction Currency,  Vendor Currency,  Gross Wholesale Price,  Wholesale Price Discount (%),  Pro-Rated Wholesale Unit Discounted Price (Amount),  Total Wholesale Price Discount (Amount),  Total Wholesale Price,  Tax on Total Wholesale Price,  Grand Total: Wholesale Price,  Vendor Name,  Vendor Unit Price,  Pro-rated Vendor Unit Price,  Total Vendor Price,  Tax on Total Vendor Price,  Grand Total: Vendor Price,  Billing Cycle,  Prorate Type,  Prorate On Cancellation,  Usage Attributes,  Payment Method,  Payment Status,  Refund Type,  Refund Amount,  Invoice Number,  Resource Id,  Charge Type,  Invoice Status, Customer CPF, Customer CNPJ, Customer State Registration, Invoice Creation Date, Service Code, Due Date, Store Code, Marketplace City, Marketplace State, User Account Status, Premeditated defaulter, Individual Invoice, Municipal Taxpayer Registration, Company Code, Affiliate Code, City Service Code, Special Procedure Number, Description City Service (fee), Total Invoice Price, Total Due Amount, Customer Code, Segment, Cycle Code, Cycle Reference, Tax Code, Tax Rate-ISS, Total Tax-ISS, Tax Code, Tax Rate-COFINS, Total Tax-COFINS, Tax Code, Tax Rate-PIS, Total Tax-PIS, Financial Status, Comments Credited, Receivable,User CPF has made the credit,Proposal Number,Adabas Code,Opportunity Id,Quote Id,Original Retail Price,Original Wholesale Price,Original Vendor Price,Exchange Rate,invoice-tax-calculation-base,Store Acronym,Total Retail Price with taxes without discount,CNPJ Store,Contractual Fine Percentage,Installment Value,Number of Months,Number of Days
edcc6f82-c5d6-11ec-99e7-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015799,18cc0ab6-f8a3-474e-a7a5-3fff7c89f879,Recurring,SAAS,26/04/2022,26/04/2022,26/04/2022,SUBSCRIPTION,,,,,,27/04/2022,26/05/2022,roxo roxo,roxoroxo,26/04/2022,Roxo roxo,roxo,roxoroxo@getnada.com,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Google Workspace,Google Workspace Enterprise Standard - Annual Plan,gwEnterpriseStandardAnnual,,Unit,1,1,20.00,20.00,20,,20.00,,20,0,20,,,14.00,14.00,BRL,USD,14.00,,14.00,,14.00,0.00,14.00,Google Workspace,10.00,10.00,10.00,0.00,10.00,Month,Yes,Used Period,Recurring,Boleto,Overdue,,,TlA-1-00044074,,,Active,225.234.486-53,30.622.118/0001-12,roxo,27/05/2022,googleworkspace,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,109.04,109.69,4019776,Massivo,05-2022,04/2022,ISS,2.00,0,COFINS,7.60,0,PIS,1.65,0,Defaulter,,SPSAASTBRA,,,,,,20,14,10,1,109.04,telerese,20,02.558.157/0135-74,,,,
edcc80d0-c5d6-11ec-a6b3-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Cloud e Tecnologia do Brasil S.A,Administrator Vivo Platforma Digital,admin@resellertelefonica.com,012345-6789,4015800,18861ae8-1c7f-4d97-b3ae-1f995ffa83c1,Recurring,SAAS,26/04/2022,26/04/2022,26/04/2022,SUBSCRIPTION,,,,,,27/04/2022,26/05/2022,verde,verde,26/04/2022,Verde,verde,verdeverde@getnada.com,1198677-0665,rua itatiba,24,,Jardim petroni,São Bernardo do campo,São Paulo,17560-246,Brazil,BR,1198677-0665,rua itatiba,24,,Jardim petroni,São Bernardo do campo,São Paulo,17560-246,Brazil,BR,1198677-0665,Google Workspace,Google Workspace Enterprise Standard - Annual Plan,gwEnterpriseStandardAnnual,,Unit,1,1,20.00,20.00,20,,20.00,,20,2.25,20,,,14.00,14.00,BRL,USD,14.00,,14.00,,14.00,0.00,14.00,Google Workspace,10.00,10.00,10.00,0.00,10.00,Month,Yes,Used Period,Recurring,Boleto,Overdue,,,TlA-1-00043990,,,Active,857.679.636-81,58.101.862/0001-90,verde,27/05/2022,googleworkspace,27/05/2022,4015381,Santana de Parnaíba,São Paulo,Active,Yes,No,cloudcoGW,GWcloud,cloudins,Telefonica,telefonic cloudco,telefonica cloudco,297.12,297.49,4019778,Massivo,05-2022,04/2022,ISS,2.00,0.4,COFINS,7.60,1.52,PIS,1.65,0.33,Defaulter,,SPSAASCLOUDCO,,,,,,20,14,10,1,297.12,cloudco,20,35.473.014/0001-07,,,,
a1cc7db2-dca0-11ec-a0c6-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015802,4c889d24-988c-4f19-a68f-adc6f714ad53,Usage,IAAS,26/04/2022,26/04/2022,26/04/2022,USAGE,,,,,,26/04/2022,25/05/2022,roxo roxo,roxoroxo,26/04/2022,Roxo roxo,roxo,roxoroxo@getnada.com,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Google Cloud Reseller Subscription Service,Google Cloud Reseller Subscription Offer,googlecloudresellersubscriptionoffer,,usage,121892464645636000,,,,46.482991,,,,46.482991,5.8922101269,52.3752011269,,,0.00,,BRL,BRL,46.48,,,,46.48,0.00,46.48,Google Cloud Reseller,0.00,,46.48,0.00,46.48,Month,,,Usage,Boleto,Overdue,,,TlA-1-00044074,,Usage,Active,225.234.486-53,30.622.118/0001-12,roxo,27/05/2022,googlecloudresellersubscriptionservice,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,109.04,109.69,4019776,Massivo,05-2022,04/2022,ISS,2.00,1.0475040226,COFINS,7.60,3.9805152857,PIS,1.65,0.8641908186,Defaulter,,SPIAASTBRA,,,,,,,,,1,109.04,telerese,52.3752011269,02.558.157/0135-74,,,,
a1f738e0-dca0-11ec-8fca-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015802,4c889d24-988c-4f19-a68f-adc6f714ad53,Usage,IAAS,26/04/2022,26/04/2022,26/04/2022,USAGE,,,,,,26/04/2022,25/05/2022,roxo roxo,roxoroxo,26/04/2022,Roxo roxo,roxo,roxoroxo@getnada.com,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Rua itatiba,24,,jardim petroni,São Bernardo do Campo,São Paulo,17560-246,Brazil,BR,119867-7665,Google Cloud Reseller Subscription Service,Google Cloud Reseller Subscription Offer,googlecloudresellersubscriptionoffer,,usage,93854580982415400,,,,32.5371,,,,32.5371,4.1244211269,36.6615211269,,,0.00,,BRL,BRL,32.54,,,,32.54,0.00,32.54,Google Cloud Reseller,0.00,,32.54,0.00,32.54,Month,,,Usage,Boleto,Overdue,,,TlA-1-00044074,,Usage,Active,225.234.486-53,30.622.118/0001-12,roxo,27/05/2022,googlecloudresellersubscriptionservice,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,109.04,109.69,4019776,Massivo,05-2022,04/2022,ISS,2.00,0.7332304226,COFINS,7.60,2.7862756057,PIS,1.65,0.6049150986,Defaulter,,SPIAASTBRA,,,,,,,,,1,109.04,telerese,36.6615211269,02.558.157/0135-74,,,,
d622fb4c-c67d-11ec-bc84-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015873,653745b6-2758-4a7b-a8e4-a542340c0a9b,New,SAAS,27/04/2022,27/04/2022,27/04/2022,SUBSCRIPTION,,,,,,27/04/2022,26/05/2022,MIGRAÇÃO MICROSOFT SUCESSO01,46400774000100TBRA,27/04/2022,MIGRAÇÃO MICROSOFT,SUCESSO01,maisquetrintaecincomaisque@getnada.com,0115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,0115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,0115555-5555,Microsoft 365 E5,Microsoft 365 E5,Microsoft365E5_offer,,license,1,1,455.04,455.04,455.04,,455.04,,455.04,0,455.04,,,,0.00,BRL,BRL,0.00,,0.00,,0.00,0.00,0.00,Microsoft,,0.00,0.00,0.00,0.00,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00043906,,,Active,351.084.761-08,46.400.774/0001-00,ISENTO,27/05/2022,Microsoft365E5,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,455.04,455.04,4019819,Massivo,05-2022,04/2022,ISS,2.00,0,COFINS,7.60,0,PIS,1.65,0,Defaulter,,SPSAASTBRA,,,,,,455.04,,,1,455.04,telerese,455.04,02.558.157/0135-74,,,,
d62a43d4-c67d-11ec-b3b7-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015874,2cb7a25a-f525-4d16-bc54-4011474a3194,New,SAAS,27/04/2022,27/04/2022,27/04/2022,SUBSCRIPTION,,,,,,27/04/2022,26/05/2022,MIGRAÇÃO MICROSOFT SUCESSO01,85301738000141TBRA,27/04/2022,MIGRAÇÃO MICROSOFT,SUCESSO01,maisquesessentamaisquesessentamaisquesessentamaisquesessenta@getnada.com,0115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,0115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,0115555-5555,Microsoft 365 E5,Microsoft 365 E5,Microsoft365E5_offer,,license,1,1,455.04,455.04,455.04,,455.04,,455.04,0,455.04,,,,0.00,BRL,BRL,0.00,,0.00,,0.00,0.00,0.00,Microsoft,,0.00,0.00,0.00,0.00,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00043905,,,Active,205.876.451-05,85.301.738/0001-41,ISENTO,27/05/2022,Microsoft365E5,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,455.04,455.04,4019821,Massivo,05-2022,04/2022,ISS,2.00,0,COFINS,7.60,0,PIS,1.65,0,Defaulter,,SPSAASTBRA,,,,,,455.04,,,1,455.04,telerese,455.04,02.558.157/0135-74,,,,
024093d2-cc88-11ec-8b65-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015876,d11c99c2-9948-4e0a-a4c0-b35d859d899e,New,SAAS,29/04/2022,29/04/2022,05/05/2022,SUBSCRIPTION,,,,,,05/05/2022,26/05/2022,Credit Async TBRA,71137217000196TBRATELERESE,29/04/2022,Credit Async,TBRA,creditasync3@getnada.com,115555-5555,PAULISTA1,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,115555-5555,Serasa Premium,Serasa Premium,serasapremium_offer,,licença,1,0.73333333333333328152292551749269478023052215576171875,20.00,14.67,14.6666666667,,14.67,,14.67,1.650375,14.67,,,1.00,0.73,BRL,EUR,0.73,,0.73,,0.73,0.00,0.73,telesourcetesttest,1.00,0.73,0.73,0.00,0.73,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00043978,,,Active,930.361.192-64,71.137.217/0001-96,ISENTO,27/05/2022,serasapremium,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,14.67,14.67,4019831,Massivo,05-2022,05/2022,ISS,2.00,0.2934,COFINS,7.60,1.11492,PIS,1.65,0.242055,Defaulter,,SPSAASTBRA,,100642,80767979,00656001010T0ORAZZ,0051R001079HLHxHQZZ,20,1,1,1,14.67,telerese,14.67,02.558.157/0135-74,,,,
2a16809c-cc88-11ec-8b65-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Brasil S.A,Administrador Reseller Vivo,vivoreseller@stg.vivoplataformadigital.com.br,0800151-5511,4015883,a4beb7b5-c0f9-4fad-86b4-df46c50313c3,New,SAAS,29/04/2022,29/04/2022,05/05/2022,SUBSCRIPTION,,,,,,05/05/2022,26/05/2022,Credit Async TBRA,72960477000120TBRATELERESE,29/04/2022,Credit Async,TBRA,creditasync7@getnada.com,115555-5555,PAULISTA1,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,115555-5555,PAULISTA,900,,BELA VISTA,SAO PAULO,São Paulo,17560-246,Brazil,BR,115555-5555,Serasa Premium,Serasa Premium,serasapremium_offer,,licença,1,0.73333333333333328152292551749269478023052215576171875,20.00,14.67,14.6666666667,,14.67,,14.67,1.650375,14.67,,,1.00,0.73,BRL,EUR,0.73,,0.73,,0.73,0.00,0.73,telesourcetesttest,1.00,0.73,0.73,0.00,0.73,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00043929,,,Active,926.516.252-05,72.960.477/0001-20,ISENTO,27/05/2022,serasapremium,27/05/2022,4011790,Santana de Parnaíba,São Paulo,Active,Yes,Yes,77434,TBRA,9141,1.03,002 2018,Processamento armaz ou hosped de dados textos imagens videos paginas eletronicas apps e sist de info entre outros formatos e congeneres,14.67,14.67,4019844,Massivo,05-2022,05/2022,ISS,2.00,0.2934,COFINS,7.60,1.11492,PIS,1.65,0.242055,Defaulter,,SPSAASTBRA,,100649,80767979,00656001010T0OrAZZ,0051R001079HLHrHQZZ,20,1,1,1,14.67,telerese,14.67,02.558.157/0135-74,,,,
2d13f294-ca2f-11ec-adc8-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Cloud e Tecnologia do Brasil S.A,Administrator Vivo Platforma Digital,admin@resellertelefonica.com,012345-6789,4015889,fa5cc630-832a-40ad-b214-0da8e205ddd3,New,SAAS,02/05/2022,02/05/2022,02/05/2022,SUBSCRIPTION,,,,,,02/05/2022,26/05/2022,verde,verde,26/04/2022,Verde,verde,verdeverde@getnada.com,1198677-0665,rua itatiba,24,,Jardim petroni,São Bernardo do campo,São Paulo,17560-246,Brazil,BR,1198677-0665,rua itatiba,24,,Jardim petroni,São Bernardo do campo,São Paulo,17560-246,Brazil,BR,1198677-0665,Office 365 Enterprise E3,Office 365 Enterprise E3,Office365EnterpriseE3_offer,,License,2,0.83333333333333337034076748750521801412105560302734375,166.27,138.56,277.1166666667,,138.56,,277.12,31.176,277.12,,,72.77,60.64,BRL,BRL,121.28,,60.64,,121.28,0.00,121.28,Microsoft,72.77,60.64,121.28,0.00,121.28,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00043990,,,Active,857.679.636-81,58.101.862/0001-90,verde,27/05/2022,Office365EnterpriseE3,27/05/2022,4015381,Santana de Parnaíba,São Paulo,Active,Yes,No,cloudcoGW,GWcloud,cloudins,Telefonica,telefonic cloudco,telefonica cloudco,297.12,297.49,4019778,Massivo,05-2022,05/2022,ISS,2.00,5.5424,COFINS,7.60,21.06112,PIS,1.65,4.57248,Defaulter,,SPSAASCLOUDCO,,,,,,166.27,72.77,72.77,1,297.12,cloudco,277.12,35.473.014/0001-07,,,,
a4414b58-cd60-11ec-88f2-fa168ec61f7f,Telefônica Brasil S.A.,Telefônica Cloud e Tecnologia do Brasil S.A,Administrator Vivo Platforma Digital,admin@resellertelefonica.com,012345-6789,4015903,5e3feb5d-f309-47b9-bd17-a4c395d44a18,New,SAAS,06/05/2022,06/05/2022,06/05/2022,SUBSCRIPTION,,,,,,06/05/2022,26/05/2022,WRTESTE,WRTESTE,06/05/2022,CN032HIST370,TESTE,cn0032@getnada.com,114141-4040,Rua Laguna,1092,,Jardim Caravelas,São Paulo,São Paulo,17560-246,Brazil,BR,114141-4040,Rua Laguna,1092,,Jardim Caravelas,São Paulo,São Paulo,17560-246,Brazil,BR,114141-4040,Google Workspace,Google Workspace Frontline - Annual Plan,gwFrontLineAnnual,,unit,1,0.6999999999999999555910790149937383830547332763671875,20.00,14.00,14,,14.00,,14,1.575,14,,,14.00,9.80,BRL,USD,9.80,,9.80,,9.80,0.00,9.80,Google Workspace,10.00,7.00,7.00,0.00,7.00,Month,Yes,Used Period,New,Boleto,Overdue,,,TlA-1-00044034,,,Active,351.096.300-89,81.460.287/0001-34,ISENTO,27/05/2022,googleworkspace,27/05/2022,4015381,Santana de Parnaíba,São Paulo,Active,Yes,No,cloudcoGW,GWcloud,cloudins,Telefonica,telefonic cloudco,telefonica cloudco,14.00,14.00,4019913,Massivo,05-2022,05/2022,ISS,2.00,0.28,COFINS,7.60,1.064,PIS,1.65,0.231,Defaulter,,SPSAASCLOUDCO,,,,,,20,14,10,1,14,cloudco,14,35.473.014/0001-07,,,,
