N doc;LNeg;Material;TxtBreveMaterial;N NF;Ser;Dta.lncto;Nome 1;Valor liquido;Mont.desconto liq;Valor de Crédito;Montante basico;TaxaImp;Valor fiscal;CFOP;Rg;CNPJ;Ref.doc.origem;Dt.estorno;Cidade;CodigoPost;Rua;Zona;CPF;CNPJ Prestador de Servico;Razao Social;CCM;Numero do Processo Regime Especial;Codigo do Servico Prestado (Prefeitura);Numero de Contrato Cliente;Vencimento Fatura Cliente
TlA-1-00044076;9141;emailprofissionalbasic;E-mail  Profissional  Basic;;;27/05/2022;TESTE NOVO CLIENTE CLOUDCO;0,18;0,00;0,00;0,18;2,00;0,00;;;43530395000147;TlA-1-00044076;;Teresina;17560246;Três Corações;;12167463030;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020244;27/05/2022
TlA-1-00043990;9141;Office365EnterpriseE3;Office 365 Enterprise E3;;;27/05/2022;verde;277,12;0,00;0,00;277,12;2,00;5,54;;;58101862000190;TlA-1-00043990;;São Bernardo do campo;17560246;rua itatiba;;85767963681;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019778;27/05/2022
TlA-1-00043990;9141;googleworkspace;Google Workspace;;;27/05/2022;verde;20,00;0,00;0,00;20,00;2,00;0,40;;;58101862000190;TlA-1-00043990;;São Bernardo do campo;17560246;rua itatiba;;85767963681;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019778;27/05/2022
TlA-1-00044034;9141;googleworkspace;Google Workspace;;;27/05/2022;WRTESTE;14,00;0,00;0,00;14,00;2,00;0,28;;;81460287000134;TlA-1-00044034;;São Paulo;17560246;Rua Laguna;;35109630089;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019913;27/05/2022
TlA-1-00043903;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;CMAY12B;79,80;0,00;0,00;79,80;4,00;1,60;;;28473454000107;TlA-1-00043903;;terte;17560246;yttryt;;34236166011;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020009;27/05/2022
TlA-1-00044019;9141;dominioregistronet;Domínio  Registro  (.net);;;27/05/2022;TESTE DOMINIOS REG;39,90;0,00;0,00;39,90;2,00;0,80;;;49862468000184;TlA-1-00044019;;São Paulo;17560246;orlando de abreu;;65388126439;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019931;27/05/2022
TlA-1-00044019;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;TESTE DOMINIOS REG;79,80;0,00;0,00;79,80;4,00;1,60;;;49862468000184;TlA-1-00044019;;São Paulo;17560246;orlando de abreu;;65388126439;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019931;27/05/2022
TlA-1-00044019;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;TESTE DOMINIOS REG;39,90;0,00;0,00;39,90;2,00;0,80;;;49862468000184;TlA-1-00044019;;São Paulo;17560246;orlando de abreu;;65388126439;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4019931;27/05/2022
TlA-1-00044075;9141;dominioregistroinfo;Domínio  Registro  (.info);;;27/05/2022;TESTE DOMINIOS REG 2;39,90;0,00;0,00;39,90;2,00;0,80;;;41014761000180;TlA-1-00044075;;São Paulo;17560246;rua almeida martins;;62699709972;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020011;27/05/2022
TlA-1-00044075;9141;dominioregistrocom;Domínio  Registro  (.com);;;27/05/2022;TESTE DOMINIOS REG 2;79,80;0,00;0,00;79,80;4,00;1,60;;;41014761000180;TlA-1-00044075;;São Paulo;17560246;rua almeida martins;;62699709972;35.473.014/0001-07;Telefônica Cloud e Tecnologia do Brasil S.A;cloudcoGW;telefonic cloudco;Telefonica;4020011;27/05/2022
